16,Львівський торговельно-економічний університет,ЛТЕУ,0,1597980,Приватна,Укоопспілка,Університет,ЛЬВІВСЬКА ОБЛАСТЬ/М.ЛЬВІВ,ЛЬВІВСЬКА ОБЛАСТЬ/М.ЛЬВІВ, ЛЬВІВ, ЛИЧАКІВСЬКИЙ, 79005: Туган-Барановського 10,(032) 275-65-50, 275-68-66,lute@lute.lviv.ua,Куцик Петро Олексійович,ректор,,,
17,"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",ДДПУ,0,38177113,Державна,Міністерство освіти і науки України,Університет,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, СЛОВ'ЯНСЬК, СЛОВ'ЯНСЬК, 84116: Генерала Батюка 19,+38(06262)3-23-54,sgpi@slav.dn.ua,Омельченко Світлана Олександрівна,ректор,,,,
18,Севастопольський національний технічний університет,СевНТУ,0,2070973,Державна,Міністерство освіти і науки України,Університет,М.СЕВАСТОПОЛЬ,М.СЕВАСТОПОЛЬ, М.СЕВАСТОПОЛЬ, М.СЕВАСТОПОЛЬ, 99053: Університетська 33,(0692) 243590,435002,root@sevgtu.sebastopol.ua,Пашков Євген Валентинович,Ректор,,,
19,Маріупольський державний університет,МДУ,0,26593428,Державна,Міністерство освіти і науки України,Університет,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, МАРІУПОЛЬ, МАРІУПОЛЬ, 87500: Будівельників  129-А,(0629) 53 22 70,53 22 52,53 22 64,53 22 51,info@mdu.in.ua,Балабанов Костянтин Васильович,ректор,
20,Вінницький національний медичний університет ім. М. І. Пирогова,ВНМУ,0,2010669,Державна,Міністерство охорони здоров`я України,Університет,ВІННИЦЬКА ОБЛАСТЬ/М.ВІННИЦЯ,ВІННИЦЬКА ОБЛАСТЬ/М.ВІННИЦЯ, ВІННИЦЯ, ЛЕНІНСЬКИЙ, 21018: Пирогова 56,(0432)570360,admission@vnmu.edu.ua,Мороз Василь Максимович,ректор,,,,
21,Східноукраїнський національний університет імені Володимира Даля,СНУ ім. В.Даля,0,2070714,Державна,Міністерство освіти і науки України,Університет,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК, СЄВЄРОДОНЕЦЬК, СЄВЄРОДОНЕЦЬК, 93400: Центральний 59-А,(06452)40342,44097,uni.snu.edu@gmail.com,Поркуян Ольга Вікторівна,ректор,,,
22,"Кримський економічний інститут Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""","КЕІ ДВНЗ ""КНЕУ ім. В.Гетьмана""",337,24498826,Державна,Міністерство освіти і науки України,Інститут,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ, СІМФЕРОПОЛЬ, СІМФЕРОПОЛЬ, 95015: Севастопольська 21/4,+38 (0652) 24-89-39,vstup@ceikneu.edu.ua,Реутов Віктор Євгенійович,директор,,,,
23,"Державна установа ""Кримський державний медичний університет імені С.І. Георгієвського""",ДУ КДМУ імені С. I. Георгiєвського,0,1896719,Державна,Міністерство охорони здоров`я України,Університет,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ, СІМФЕРОПОЛЬ, СІМФЕРОПОЛЬ, 95006: Леніна 5/7,+38(0652) 554-804,office@csmu.strace.net,Бабанін Анатолій Андрійович,ректор,,,,
24,Національний транспортний університет,НТУ,0,2070915,Державна,Міністерство освіти і науки України,Університет,М.КИЇВ,М.КИЇВ, ПЕЧЕРСЬКИЙ, ПЕЧЕРСЬКИЙ, 01010: Суворова 1,+38(044) 280 82 03,general@ntu.edu.ua,Дмитриченко Микола Федорович,ректор,,,,
25,Київський університет права Національної академії наук України,КУП НАНУ,0,23745145,Державна,Національна академія наук України,Університет,М.КИЇВ,М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ, ШЕВЧЕНКІВСЬКИЙ, 01001: Трьохсвятительська 4,(044) 4243335; 4522864,kul@kul.kiev.ua,Бошицький Юрій Ладиславович,ректор,,,,
26,"Приватний вищий навчальний заклад ""Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі""","ПВНЗ ""Мистецький інститут імені Сальвадора Далі""",0,32978839,Приватна,Без підпорядкування,Інститут,М.КИЇВ,М.КИЇВ, ДЕСНЯНСЬКИЙ, ДЕСНЯНСЬКИЙ, 02217: Братиславська 8,(044) 495-17-77; 390-37-96,mixmd@list.ru,Фурса Оксана Олександрівна,ректор,,,,
27,Полтавська державна аграрна академія,ПДАА,0,493014,Державна,Міністерство освіти і науки України,Академія,ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА,ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА, ПОЛТАВА, КИЇВСЬКИЙ, 36003: Г. Сковороди 1/3,(0532) 50-02-73, 22 28 39, 22 29 57,pdaa@pdaa.edu.ua,Аранчій Валентина Іванівна,ректор,,
28,Одеський національний університет імені І. І. Мечникова,ОНУ імені І.І. Мечникова,0,2071091,Державна,Міністерство освіти і науки України,Університет,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА, ОДЕСА, ОДЕСА, 65026: Дворянська 2,+38(048) 723-52-54,233515,rektor@onu.edu.ua,Коваль Ігор Миколайович,ректор,,,
29,Харківський торговельно - економічний інститут Київського національного торговельно - економічного університету,ХТЕІ КНТЕУ,196,33297907,Державна,Міністерство освіти і науки України,Відокремлений підрозділ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,М.КИЇВ, М.КИЇВ, М.КИЇВ, 61045: Отакара Яроша 8,+38 (057) 340-33-34,htei.knteu@gmail.com,Гурова Капіталіна Дмитрівна,директор,,,,
30,Національний університет державної податкової служби України,Національний університет ДПС України,3457,2973089,Державна,Міністерство освіти і науки України,Університет,КИЇВСЬКА ОБЛАСТЬ/М.КИЇВ,КИЇВСЬКА ОБЛАСТЬ/М.КИЇВ, ІРПІНЬ, ІРПІНЬ, 08200: Карла Маркса 31,(04597) 56595,60705,57571,nudpsu@nusta.edu.ua,Тарангул Людмила Леонідівна,голова комісії з реорганзації,,
31,Одеський національний економічний університет,ОНЕУ,0,2071079,Державна,Міністерство освіти і науки України,Університет,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА, ОДЕСА, ПРИМОРСЬКИЙ, 65082: Преображенська 8,(048)723-61-58,mail@oneu.edu.ua,Звєряков Михайло Іванович,ректор,,,,
32,Приватний вищий навчальний заклад «Хмельницький економічний університет»,"Приватний вищий навчальний заклад ""Хмельницький економічний університет""",0,14153730,Приватна,Без підпорядкування,Університет,ХМЕЛЬНИЦЬКА ОБЛАСТЬ/М.ХМЕЛЬНИЦЬКИЙ,ХМЕЛЬНИЦЬКА ОБЛАСТЬ/М.ХМЕЛЬНИЦЬКИЙ, ХМЕЛЬНИЦЬКИЙ, ХМЕЛЬНИЦЬКИЙ, 29008: Кам’янецька 159/2,(0382) 72-89-25, (0382) 67-01-43,kheu@hm.ukrtel.net,Смоленюк Руслан Петрович,ректор,,,
33,Сумський державний педагогічний університет ім. А.С. Макаренка,СДПУ ім. А.С. Макаренка,0,2125510,Державна,Міністерство освіти і науки України,Університет,СУМСЬКА ОБЛАСТЬ/М.СУМИ,СУМСЬКА ОБЛАСТЬ/М.СУМИ, СУМИ, КОВПАКІВСЬКИЙ, 40002: Роменська 87,(0542) 22-14-95, 22-15-17,rector@sspu.sumy.ua,Лянной Юрій Олегович,ректор,,,
34,"Національний аерокосмічний університет ім. М. Є. Жуковського ""Харківський авіаційний інститут""",ХАІ,0,2066769,Державна,Міністерство освіти і науки України,Університет,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, КИЇВСЬКИЙ, 61070: Чкалова 17,(057) 315-10-56,7884040,7074000,7074080,khai@khai.edu,Кривцов Володимир Станіславович,ректор,
35,Керченський державний морський технологічний університет,КДМТУ,0,34571906,Державна,Міністерство аграрної політики та продовольства України,Університет,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ,АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ, КЕРЧ, КЕРЧ, 98309: Орджонікідзе 82,+38 (06561) 6-35-85,kmti@aironet.com.ua, pk_kgmtu@mail.ru,Масюткін Євген Петрович,ректор,,,
36,"Державний вищий навчальний заклад ""Національний гірничий університет""","Державний ВНЗ ""НГУ""",0,2070743,Державна,Міністерство освіти і науки України,Університет,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК, ДНІПРОПЕТРОВСЬК, ДНІПРОПЕТРОВСЬК, 49000: Карла Маркса 19,+38 (056) 744-62-19,nmu@nmu.org.ua,Півняк Геннадій Григорович,ректор,,,,
37,Запорізька державна інженерна академія,ЗДІА,0,5402565,Державна,Міністерство освіти і науки України,Академія,ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ,ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ, ЗАПОРІЖЖЯ, ЛЕНІНСЬКИЙ, 69006: Леніна  226,(061) 283-08-38,admin@zgia.zp.ua,Банах Віктор Аркадійович,ректор,,,,
38,Інститут хімічних технологій Східноукраїнського національного університету імені Володимира Даля (м. Рубіжне),ІХТ СНУ ім. В. Даля (м. Рубіжне),21,5465028,Державна,Міністерство освіти і науки України,Відокремлений підрозділ,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК, РУБІЖНЕ, РУБІЖНЕ, 93009: Леніна 31,+38 (06453) 6-40-49,сontact@iht.lg.ua,Тімошин Анатолій Сергійович,в.о. директора,,,,
39,Український державний університет залізничного транспорту,УкрДУЗТ,0,1116472,Державна,Міністерство освіти і науки України,Університет,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, МОСКОВСЬКИЙ, 61050: Фейєрбаха 7,(057) 7301013; 322067; 206007; 322882,info@kart.edu.ua,Панченко Сергій Володимирович,ректор,,,,
40,Рівненський державний гуманітарний університет,РДГУ,0,25736989,Державна,Міністерство освіти і науки України,Університет,РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ,РІВНЕНСЬКА ОБЛАСТЬ/М.РІВНЕ, РІВНЕ, РІВНЕ, 33028: Степана Бандери 12,(0362) 26 78 65, 26 37 15,rektorat@rdgu.uar.net,Постоловський Руслан Михайлович,ректор,,,
41,Київський національний університет імені Тараса Шевченка,КНУТШ,0,2070944,Державна,Міністерство освіти і науки України,Університет,М.КИЇВ,М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ, ШЕВЧЕНКІВСЬКИЙ, 01601: Володимирська 60,(044) 239-32-20, 289-86-91, 234-89-04,stationery@univ.kiev.ua, office.chief@univ.net.ua,Губерський Леонід Васильович,ректор,
42,"Державний вищий навчальний заклад ""Приазовський державний технічний університет""","ДВНЗ ""ПДТУ""",0,2070812,Державна,Міністерство освіти і науки України,Університет,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, МАРІУПОЛЬ, МАРІУПОЛЬ, 87500: Університетська 7,(0629) 33-34-16, (0629)33-21-08,office@pstu.edu,Волошин В`ячеслав Степанович,ректор,,,
43,"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""",ДВНЗ ПДАБА,0,2070772,Державна,Міністерство освіти і науки України,Академія,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ/М.ДНІПРОПЕТРОВСЬК, ДНІПРОПЕТРОВСЬК, ДНІПРОПЕТРОВСЬК, 49600: Чернишевського 24-а,(056) 745 23 72,prkom@mail.pgasa.dp.ua,Большаков Володимир Іванович,ректор,,,,
44,Східноєвропейський національний університет імені Лесі Українки,СНУ ім. Лесі Українки,0,2125102,Державна,Міністерство освіти і науки України,Університет,ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК,ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК, ЛУЦЬК, ЛУЦЬК, 43025: Волі 13,0-(332) 24-00-18,post@univer.lutsk.ua,Коцан Ігор Ярославович,ректор,,,,
45,"Відокремлений підрозділ ""Ровеньківський факультет Луганського національного університету імені Тараса Шевченка""","ВП ""Ровеньківський факультет ЛНУ імені Тараса Шевченка """,81,26298008,Державна,Міністерство освіти і науки України,Відокремлений підрозділ,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК, СТАРОБІЛЬСЬКИЙ РАЙОН/М.СТАРОБІЛЬСЬК, СТАРОБІЛЬСЬК, 92700: Гоголя 1,(06433)5-39-82, (06433)5-39-88-факс,rovfaculty@mail.ru,Мороз Володимир Петрович,в.о. декана,,,
46,Севастопольський міський гуманітарний університет,СМГУ,0,26264765,Комунальна,Управління освіти і науки Севастопольської державної адміністрації,Університет,М.СЕВАСТОПОЛЬ,М.СЕВАСТОПОЛЬ, М.СЕВАСТОПОЛЬ, М.СЕВАСТОПОЛЬ, 99011: Набарежна Корнілова 1,(0692) 543633,550520,rector@smuh.edu.ua,Лапенок Марія Іванівна,ректор,,,
47,Національний університет харчових технологій,НУХТ,0,2070938,Державна,Міністерство освіти і науки України,Університет,М.КИЇВ,М.КИЇВ, ГОЛОСІЇВСЬКИЙ, ГОЛОСІЇВСЬКИЙ, 01033: Володимирська 68,+30(044) 289-95-55,info@nuft.edu.ua,Українець Анатолій Іванович,ректор,,,,
48,Херсонський державний університет,ХДУ,0,2125609,Державна,Міністерство освіти і науки України,Університет,ХЕРСОНСЬКА ОБЛАСТЬ/М.ХЕРСОН,ХЕРСОНСЬКА ОБЛАСТЬ/М.ХЕРСОН, ХЕРСОН, ДНІПРОВСЬКИЙ, 73000: 40 років Жовтня 27,(0552)32-67-05,office@ksu.ks.ua,Стратонов Василь Миколайович,ректор,,,,
49,"Приватний вищий навчальний заклад Харківський гуманітарний університет ""Народна українська академія""",ПВНЗ ХГУ «Народна українська академія»,0,21228109,Приватна,Без підпорядкування,Університет,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, КИЇВСЬКИЙ, 61024: Лермонтовська 27,(057)714-20-07;     (057)704-10-37,rector@nua.kharkov.ua,Астахова Катерина Вікторівна,ректор,,,,
50,Харківська державна академія дизайну і мистецтв,ХДАДМ,0,2071145,Державна,Міністерство освіти і науки України,Академія,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, КИЇВСЬКИЙ, 61002:  Червонопрапорна 8,+38 (057) 720-23-20, +38 (057) 706-15-60,academy@ksada.edu.ua,Даниленко Віктор Якович,Ректор,,,
51,Одеська національна академія харчових технологій,ОНАХТ,0,2071062,Державна,Міністерство освіти і науки України,Академія,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА,ОДЕСЬКА ОБЛАСТЬ/М.ОДЕСА, ОДЕСА, ОДЕСА, 65039: Канатна 112,+ 38 (048)725-83-26,253284,291124,253284,postmaster@onaft.edu.ua,Єгоров Богдан Вікторович,ректор,
52,Донбаська державна машинобудівна академія,ДДМА,0,2070789,Державна,Міністерство освіти і науки України,Академія,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК,ДОНЕЦЬКА ОБЛАСТЬ/М.ДОНЕЦЬК, КРАМАТОРСЬК, КРАМАТОРСЬК, 84313: Шкадінова 72,+38 (0626) 41-68-09,dgma@dgma.donetsk.ua,Ковальов Віктор Дмитрович,ректор,,,,
53,Академія праці, соціальних відносин і туризму,АПСВТ,0,4641405,Приватна,Без підпорядкування,Академія,М.КИЇВ,М.КИЇВ, М.КИЇВ, М.КИЇВ, 03680: Велика Окружна дорога 3,+38(044) 522-49-40,info@socosvita.kiev.ua,Буяшенко Вікторія Василівна,ректор,,,
55,Кіровоградський державний педагогічний університет імені Володимира Винниченка,КДПУ ім. В. Винниченка,0,2125415,Державна,Міністерство освіти і науки України,Університет,КІРОВОГРАДСЬКА ОБЛАСТЬ/М.КІРОВОГРАД,КІРОВОГРАДСЬКА ОБЛАСТЬ/М.КІРОВОГРАД, КІРОВОГРАД, КІРОВОГРАД, 25006: Шевченка 1,+38(0522)221834,248633,248544,mails@kspu.kr.ua,Семенюк Олег Анатолійович,ректор,,
56,Київський університет імені Бориса Грінченка,Університет Грінченка,0,2136554,Комунальна,Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації),Університет,М.КИЇВ,М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ, ШЕВЧЕНКІВСЬКИЙ, 04053: Бульварно-Кудрявська 18/2,(044) 2721902,2721920,kubg@kubg.edu.ua,Огнев'юк Віктор Олександрович,ректор,,
57,Харківський національний педагогічний університет імені Г.С. Сковороди,ХНПУ імені Г.С.Сковороди,0,2125585,Державна,Міністерство освіти і науки України,Університет,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, КИЇВСЬКИЙ, 61002:  Артема 29,+38 (0572) 68-14-34,priimalna@hnpu.edu.ua,Прокопенко Іван Федорович,ректор,,,,
58,Міжнародний Соломонів університет,,0,19131822,Приватна,Без підпорядкування,Університет,М.КИЇВ,М.КИЇВ, СВЯТОШИНСЬКИЙ, СВЯТОШИНСЬКИЙ, 03164: Генерала Наумова 23-Б,38 (044) 236-12-73,isu@solomon-un.kiev.ua,Розенфельд Олександр Ілліч,ректор,,,,
59,Миколаївський національний аграрний університет,МНАУ,0,497213,Державна,Міністерство освіти і науки України,Університет,МИКОЛАЇВСЬКА ОБЛАСТЬ/М.МИКОЛАЇВ,МИКОЛАЇВСЬКА ОБЛАСТЬ/М.МИКОЛАЇВ, МИКОЛАЇВ, ЗАВОДСЬКИЙ, 54010: Паризької комуни 9,+38 (0512) 34-10-82,rector@mnau.edu.ua, pk@mdau.mk.ua,Шебанін В'ячеслав Сергійович,ректор,,,
60,"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",ВІЕМ,0,20122171,Приватна,Без підпорядкування,Інститут,ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК,ВОЛИНСЬКА ОБЛАСТЬ/М.ЛУЦЬК, ЛУЦЬК, ЛУЦЬК, 43020: Електроапаратна 3,+38 (0332) 78-98-33,78-98-38,info@viem.edu.ua,Лебідь Володимир Володимирович,в.о. ректора,,,
61,Чернівецький національний університет імені Юрія Федьковича,ЧНУ,0,2071240,Державна,Міністерство освіти і науки України,Університет,ЧЕРНІВЕЦЬКА ОБЛАСТЬ/М.ЧЕРНІВЦІ,ЧЕРНІВЕЦЬКА ОБЛАСТЬ/М.ЧЕРНІВЦІ, ЧЕРНІВЦІ, ШЕВЧЕНКІВСЬКИЙ, 58012: Коцюбинського 2,0372 52-70-29,office@chnu.edu.ua,Мельничук Степан Васильович,ректор,,,,
62,Харківський національний університет імені В.Н. Каразіна,ХНУ імені В.Н. Каразіна,0,2071205,Державна,Міністерство освіти і науки України,Університет,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, ХАРКІВ, 61022: Свободи 4,577051247,7075255,7051248,rektor@karazin.ua,Бакіров Віль Савбанович,ректор,,
63,"Товариство з обмеженою відповідальністю ""Бердянський університет менеджменту і бізнесу""","ТОВ ""БУМІБ""",0,22142717,Приватна,Міністерство освіти і науки України,Університет,ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ,ЗАПОРІЗЬКА ОБЛАСТЬ/М.ЗАПОРІЖЖЯ, БЕРДЯНСЬК, БЕРДЯНСЬК, 71100: Свободи 117 А,(06153) 6-44-01,bumib@ukr.net,Антошкіна Лідія Іванівна,ректор,,,,
64,"Приватний вищий навчальний заклад ""Харківський соціально-економічний інститут""","ПВНЗ ""ХСЕІ""",0,2654987,Приватна,Без підпорядкування,Інститут,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ,ХАРКІВСЬКА ОБЛАСТЬ/М.ХАРКІВ, ХАРКІВ, ХАРКІВ, 61003: Конституції  1,(057) 731 46 75,Rektor@khsei.edu.ua,Каревік Олександр Олександрович,в.о. ректора,,,,
65,Краснодонський відокремлений факультет інженерії та менеджмента Східноукраїнського національного університету ім. В. Даля,КраФІМ,21,24847586,Державна,Міністерство освіти і науки України,Відокремлений підрозділ,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК,ЛУГАНСЬКА ОБЛАСТЬ/М.ЛУГАНСЬК, ЛУГАНСЬК, ЛУГАНСЬК, 94400: Першокінна 42,+38(06435) 6-40-51,krafim1995@yandex.ru,Харковський Руслан Геннадійович,декан,,,,
67,Національна академія статистики, обліку та аудиту,НАСОА,0,4837462,Державна,Державна служба статистики України,Академія,М.КИЇВ,М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ, ШЕВЧЕНКІВСЬКИЙ, 04107: Підгірна 1,(044) 484 49 41, (044) 484 47 78,info@nasoa.edu.ua,Осауленко Олександр Григорович,ректор,,
